Title,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
A Stranger of Mine,"Yasuhi Nakamura, Reika Kirishima, Sô Yamanaka, Yuka Itaya",12 wins & 1 nomination.,N/A,Japan,N/A,Kenji Uchida,"Comedy, Drama, Romance",Japanese,N/A,"In one long Friday evening, Takeshi Miyata, a straight-arrow businessman, will encounter a number of people (some only fleetingly) who have intertwining fates. After six months he is still ...",https://images-na.ssl-images-amazon.com/images/M/MV5BZGUxMWQyMjQtZDM1ZC00NTFkLTkzZTEtMDQzMzBiMTA5MDliXkEyXkFqcGdeQXVyMDc4NjY0NQ@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",05 Jan 2006,True,98 min,movie,N/A,Kenji Uchida,2005,tt0461857,7.8,883,
Miss Hokusai,"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige",5 wins & 7 nominations.,"$216,202",Japan,N/A,"Keiichi Hara, Stephanie Sheh, Michael Sinterniklaas","Animation, Biography, Drama",Japanese,74,"The life and works of Japanese artist and ukiyo-e painter Katsushika Hokusai, as seen from the eyes of his daughter, Katsushika O-Ei.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4MjkyMjY2NV5BMl5BanBnXkFtZTgwNDI2OTQ4OTE@._V1_SX300.jpg,GKIDS,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",09 May 2015,True,93 min,movie,N/A,"Hinako Sugiura (comic ""Sarusuberi""), Miho Maruo (screenplay), Stephanie Sheh (english adaptation)",2015,tt3689910,6.7,"1,759",
Miss Hokusai,"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige",5 wins & 7 nominations.,"$216,202",Japan,N/A,"Keiichi Hara, Stephanie Sheh, Michael Sinterniklaas","Animation, Biography, Drama",Japanese,74,"The life and works of Japanese artist and ukiyo-e painter Katsushika Hokusai, as seen from the eyes of his daughter, Katsushika O-Ei.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4MjkyMjY2NV5BMl5BanBnXkFtZTgwNDI2OTQ4OTE@._V1_SX300.jpg,GKIDS,PG-13,"{'Source': 'Rotten Tomatoes', 'Value': '92%'}",09 May 2015,True,93 min,movie,N/A,"Hinako Sugiura (comic ""Sarusuberi""), Miho Maruo (screenplay), Stephanie Sheh (english adaptation)",2015,tt3689910,6.7,"1,759",
Miss Hokusai,"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige",5 wins & 7 nominations.,"$216,202",Japan,N/A,"Keiichi Hara, Stephanie Sheh, Michael Sinterniklaas","Animation, Biography, Drama",Japanese,74,"The life and works of Japanese artist and ukiyo-e painter Katsushika Hokusai, as seen from the eyes of his daughter, Katsushika O-Ei.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4MjkyMjY2NV5BMl5BanBnXkFtZTgwNDI2OTQ4OTE@._V1_SX300.jpg,GKIDS,PG-13,"{'Source': 'Metacritic', 'Value': '74/100'}",09 May 2015,True,93 min,movie,N/A,"Hinako Sugiura (comic ""Sarusuberi""), Miho Maruo (screenplay), Stephanie Sheh (english adaptation)",2015,tt3689910,6.7,"1,759",
Being Canadian,"Cobie Smulders, Nathan Fillion, Ben Stiller, Seth Rogen",1 nomination.,N/A,Canada,N/A,Robert Cohen,"Documentary, Comedy","English, French",N/A,"What does it actually mean to be Canadian? This humorous documentary, featuring interviews with a who's-who of famous media related Canadians, hopes to find the answer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MTg5NTExMzleQTJeQWpwZ15BbWU4MDY5NzcwNTYx._V1_SX300.jpg,Candy Factory Films,NOT RATED,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",18 Sep 2015,True,90 min,movie,http://beingcanadianmovie.com/,Robert Cohen,2015,tt1723659,6.2,640,
Being Canadian,"Cobie Smulders, Nathan Fillion, Ben Stiller, Seth Rogen",1 nomination.,N/A,Canada,N/A,Robert Cohen,"Documentary, Comedy","English, French",N/A,"What does it actually mean to be Canadian? This humorous documentary, featuring interviews with a who's-who of famous media related Canadians, hopes to find the answer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MTg5NTExMzleQTJeQWpwZ15BbWU4MDY5NzcwNTYx._V1_SX300.jpg,Candy Factory Films,NOT RATED,"{'Source': 'Rotten Tomatoes', 'Value': '33%'}",18 Sep 2015,True,90 min,movie,http://beingcanadianmovie.com/,Robert Cohen,2015,tt1723659,6.2,640,
Dor,"Ayesha Takia, Shreyas Talpade, Gul Panag, Girish Karnad",N/A,N/A,India,21 Nov 2006,Nagesh Kukunoor,Drama,"Hindi, Urdu",N/A,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her hands.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0ODgzODY4M15BMl5BanBnXkFtZTgwMzMxMjY5NjE@._V1_SX300.jpg,T-House Productions,N/A,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",22 Sep 2006,True,147 min,movie,http://www.dorthefilm.com/,"Nagesh Kukunoor (screenplay), Nagesh Kukunoor (story), Mir Ali Husain (story), T.A. Razak",2006,tt0824316,8.0,"4,733",
Life Is Ruff,"Kyle Massey, Kay Panabaker, Mitchel Musso, Carter Jenkins",N/A,N/A,USA,N/A,Charles Haid,"Comedy, Family",English,N/A,"Calvin Wheeler is a scheming 13-year-old boy with everything going for him, except for an original issue of his precious comic book collection. When a prized show-dog chases him down while ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxMzIwODk4Ml5BMl5BanBnXkFtZTgwMTk0MDA2MDE@._V1_SX300.jpg,Davis Entertainment,TV-G,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",15 Jul 2005,True,84 min,movie,N/A,Eddie Guzelian,2005,tt0450455,5.1,"1,115",
Cow Belles,"Aly Michalka, AJ Michalka, Jack Coleman, Sheila McCarthy",N/A,N/A,USA,27 Jun 2006,Francine McDougall,"Comedy, Family, Romance",English,N/A,"In order to learn how to be responsible, two wealthy teen sisters are forced to work in the family business by their exasperated father. When company funds goes missing, it's up to the girls to save the day.",https://ia.media-imdb.com/images/M/MV5BNGNhY2I4YzYtYjczNi00YjYzLWI1NTAtYjBhZmFkNDM3NmEyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_SX300.jpg,Walt Disney Home Entertainment,TV-G,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",24 Mar 2006,True,90 min,movie,N/A,"Matt Dearborn (teleplay), Matt Dearborn (story), Stu Krieger (teleplay)",2006,tt0489007,5.3,"4,884",
Genius,"Trevor Morgan, Emmy Rossum, Charles Fleischer, Yannick Bisson",2 nominations.,N/A,USA,N/A,Rod Daniel,"Comedy, Family, Romance",English,N/A,Charlie Boyle finds that even his high IQ can't solve all of his problems when he takes on a double life in order to make friends his own age.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNzUwMDc1N15BMl5BanBnXkFtZTgwODQzMTE0NzE@._V1_SX300.jpg,DIC Entertainment,TV-G,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",21 Aug 1999,True,82 min,movie,N/A,"John Rieck (story), John Rieck (teleplay), Jim Lincoln (teleplay), Dan Studney (teleplay)",1999,tt0193187,6.5,"1,395",
